X1,y
-5.0,-1692.2359476540323
-4.98998998998999,-1693.6198628116526
-4.97997997997998,-1693.0613020559344
-4.96996996996997,-1691.8191668608586
-4.95995995995996,-1692.2125220899302
-4.94994994994995,-1695.0773779799765
-4.93993993993994,-1693.1700317025945
-4.92992992992993,-1694.2914973484378
-4.91991991991992,-1694.2633790119537
-4.90990990990991,-1693.7695816782418
-4.8998998998999,-1694.0561566290394
-4.88988988988989,-1692.7659467132573
-4.87987987987988,-1693.4792025150932
-4.86986986986987,-1694.1385852437675
-4.85985985985986,-1693.836417047535
-4.84984984984985,-1693.966625972926
-4.83983983983984,-1692.8262412471627
-4.82982982982983,-1694.5454986041061
-4.81981981981982,-1694.0472926587095
-4.80980980980981,-1695.234476119682
-4.7997997997998,-1696.9533902162345
-4.78978978978979,-1693.7668018249801
-4.77977977977978,-1693.576004241581
-4.76976976976977,-1695.2026254808668
-4.75975975975976,-1692.210725856493
-4.74974974974975,-1695.9548661750994
-4.73973973973974,-1694.474762003219
-4.72972972972973,-1694.7277243905664
-4.71971971971972,-1693.0277813462021
-4.70970970970971,-1693.1112218106803
-4.6996996996997,-1694.4456531749036
-4.68968968968969,-1694.2424581010184
-4.67967967967968,-1695.5284263882706
-4.66966966966967,-1696.6414571288844
-4.65965965965966,-1695.028592830007
-4.64964964964965,-1694.5443517315969
-4.63963963963964,-1693.490430039993
-4.62962962962963,-1693.5383608919562
-4.61961961961962,-1695.1480875781688
-4.60960960960961,-1695.0830835313561
-4.5995995995996,-1695.8493537658678
-4.58958958958959,-1696.2408387579999
-4.57957957957958,-1696.5471110314659
-4.56956956956957,-1692.910085465629
-4.55955955955956,-1695.3905330626324
-4.54954954954955,-1695.338975202512
-4.53953953953954,-1696.173716280971
-4.52952952952953,-1694.1634505851089
-4.51951951951952,-1696.5748588085191
-4.50950950950951,-1695.193721261195
-4.4994994994995,-1695.8964675621946
-4.48948948948949,-1694.6341185231618
-4.47947947947948,-1695.55184617861
-4.46946946946947,-1696.2416932451836
-4.45945945945946,-1695.1092633094197
-4.44944944944945,-1694.6727692305706
-4.43943943943944,-1695.054603898738
-4.42942942942943,-1694.8386692434015
-4.41941941941942,-1695.795483254842
-4.40940940940941,-1695.5439223471685
-4.3993993993994,-1695.873661648977
-4.38938938938939,-1695.5807743827618
-4.37937937937938,-1696.0543875232856
-4.36936936936937,-1696.987543863593
-4.35935935935936,-1695.1038551390275
-4.34934934934935,-1695.7030822375095
-4.33933933933934,-1696.9515196682876
-4.32932932932933,-1694.8785590858156
-4.31931931931932,-1696.2686597257446
-4.3093093093093096,-1695.3294359855852
-4.2992992992992995,-1694.6723108392239
-4.2892892892892895,-1695.292438510664
-4.2792792792792795,-1694.3020407568981
-4.2692692692692695,-1696.6962872818153
-4.2592592592592595,-1695.079139840304
-4.2492492492492495,-1696.1863115924418
-4.2392392392392395,-1696.3923186707034
-4.2292292292292295,-1696.120391206306
-4.2192192192192195,-1695.8731140936889
-4.2092092092092095,-1695.525416239352
-4.1991991991991995,-1696.766751442385
-4.1891891891891895,-1694.7207951346675
-4.1791791791791795,-1695.175979201911
-4.1691691691691695,-1697.1979053479388
-4.1591591591591595,-1694.193429487886
-4.1491491491491495,-1693.8058125256712
-4.1391391391391394,-1694.542942150562
-4.129129129129129,-1695.9216665775539
-4.119119119119119,-1696.8325143832724
-4.109109109109109,-1694.7273300548507
-4.099099099099099,-1696.204978748775
-4.089089089089089,-1694.5993767514394
-4.079079079079079,-1695.633566863765
-4.069069069069069,-1694.8852228253782
-4.059059059059059,-1695.5255154847073
-4.049049049049049,-1695.19532873371
-4.039039039039039,-1695.911421901201
-4.029029029029029,-1694.156071448036
-4.019019019019019,-1695.8350498692585
-4.009009009009009,-1695.5799926185373
-3.998998998998999,-1694.1188513049458
-3.988988988988989,-1697.3697810831643
-3.978978978978979,-1697.3125270405278
-3.968968968968969,-1695.092665353904
-3.958958958958959,-1697.2552054871962
-3.948948948948949,-1694.1584809164528
-3.938938938938939,-1696.535741102882
-3.928928928928929,-1696.889596953583
-3.918918918918919,-1694.2392201356818
-3.908908908908909,-1694.7016673907478
-3.898898898898899,-1694.3346432417757
-3.888888888888889,-1695.316177563947
-3.878878878878879,-1697.103467927297
-3.868868868868869,-1694.3521973091633
-3.858858858858859,-1696.5502856532337
-3.848848848848849,-1695.499845906506
-3.838838838838839,-1695.3750703545486
-3.828828828828829,-1696.4973524354332
-3.818818818818819,-1695.7482829920161
-3.808808808808809,-1695.4601757108157
-3.798798798798799,-1696.025976871247
-3.7887887887887888,-1697.5218232130067
-3.7787787787787788,-1696.1442042682363
-3.7687687687687688,-1695.1360765657755
-3.7587587587587588,-1697.177050342214
-3.7487487487487487,-1696.6521370428302
-3.7387387387387387,-1696.957676074244
-3.7287287287287287,-1694.6932788140632
-3.7187187187187187,-1695.8902678055501
-3.7087087087087087,-1696.1751207463415
-3.6986986986986987,-1697.372518677048
-3.6886886886886887,-1696.0833734313308
